county,office,district,party,candidate,votes,,,,,,,,,
Total,State Assembly,126,,Total,64697,,,,,,,,,
Onondaga,State Assembly,127,DEM,"Albert A. Stirpe, Jr.",33452,,,,,,,,,
Onondaga,State Assembly,127,REP,Vincent Giordano,23094,,,,,,,,,
Onondaga,State Assembly,127,CON,Michael J. Becallo,3796,,,,,,,,,
Onondaga,State Assembly,127,WOR,"Albert A. Stirpe, Jr.",2426,,,,,,,,,
Onondaga,State Assembly,127,IND,Vincent Giordano,1474,,,,,,,,,
Onondaga,State Assembly,127,WEP,"Albert A. Stirpe, Jr.",726,,,,,,,,,
Onondaga,State Assembly,127,REF,Michael J. Becallo,268,,,,,,,,,
Onondaga,State Assembly,127,,Blank,4592,,,,,,,,,
Onondaga,State Assembly,127,,Void,0,,,,,,,,,
Onondaga,State Assembly,127,,Scattering,25,,,,,,,,,
Onondaga,State Assembly,127,,Total,69853,,,,,,,,,
Onondaga,State Assembly,128,DEM,Pamela Jo Hunter,32524,,,,,,,,,
Onondaga,State Assembly,128,WOR,Pamela Jo Hunter,2380,,,,,,,,,
Onondaga,State Assembly,128,IND,Pamela Jo Hunter,3192,,,,,,,,,
Onondaga,State Assembly,128,WEP,Pamela Jo Hunter,794,,,,,,,,,
Onondaga,State Assembly,128,,Blank,15681,,,,,,,,,
Onondaga,State Assembly,128,,Void,0,,,,,,,,,
Onondaga,State Assembly,128,,Scattering,301,,,,,,,,,
Onondaga,State Assembly,128,,Total,54872,,,,,,,,,
Onondaga,State Assembly,129,DEM,William B. Magnarelli,28905,,,,,,,,,
Onondaga,State Assembly,129,WOR,William B. Magnarelli,2372,,,,,,,,,
Onondaga,State Assembly,129,IND,William B. Magnarelli,2776,,,,,,,,,
Onondaga,State Assembly,129,WEP,William B. Magnarelli,694,,,,,,,,,
Onondaga,State Assembly,129,,Blank,10443,,,,,,,,,
Onondaga,State Assembly,129,,Void,0,,,,,,,,,
Onondaga,State Assembly,129,,Scattering,263,,,,,,,,,
Onondaga,State Assembly,129,,Total,45453,,,,,,,,,
Wayne,State Assembly,130,REP,Robert C. Oaks,26279,,,,,,,,,
Wayne,State Assembly,130,CON,Robert C. Oaks,5791,,,,,,,,,
Wayne,State Assembly,130,,Blank,7868,,,,,,,,,
Wayne,State Assembly,130,,Void,2,,,,,,,,,
Wayne,State Assembly,130,,Scattering,69,,,,,,,,,
Wayne,State Assembly,130,,Total,40009,,,,,,,,,
Cayuga,State Assembly,130,REP,Robert C. Oaks,6955,,,,,,,,,
Cayuga,State Assembly,130,CON,Robert C. Oaks,1404,,,,,,,,,
Cayuga,State Assembly,130,,Blank,2954,,,,,,,,,
Cayuga,State Assembly,130,,Void,0,,,,,,,,,
Cayuga,State Assembly,130,,Scattering,22,,,,,,,,,
Cayuga,State Assembly,130,,Total,11335,,,,,,,,,
Oswego,State Assembly,130,REP,Robert C. Oaks,3080,,,,,,,,,
Oswego,State Assembly,130,CON,Robert C. Oaks,686,,,,,,,,,
Oswego,State Assembly,130,,Blank,1584,,,,,,,,,
Oswego,State Assembly,130,,Void,3,,,,,,,,,
Oswego,State Assembly,130,,Scattering,17,,,,,,,,,
Oswego,State Assembly,130,,Total,5370,,,,,,,,,
Total,State Assembly,130,REP,Robert C. Oaks,36314,,,,,,,,,
Total,State Assembly,130,CON,Robert C. Oaks,7881,,,,,,,,,
Total,State Assembly,130,,Blank,12406,,,,,,,,,
Total,State Assembly,130,,Void,5,,,,,,,,,
Total,State Assembly,130,,Scattering,108,,,,,,,,,
Total,State Assembly,130,,Total,56714,,,,,,,,,
Ontario,State Assembly,131,REP,Brian M. Kolb,30441,,,,,,,,,
Ontario,State Assembly,131,CON,Brian M. Kolb,4442,,,,,,,,,
Ontario,State Assembly,131,IND,Brian M. Kolb,4046,,,,,,,,,
Ontario,State Assembly,131,REF,Brian M. Kolb,727,,,,,,,,,
Ontario,State Assembly,131,,Blank,12859,,,,,,,,,
Ontario,State Assembly,131,,Void,0,,,,,,,,,
Ontario,State Assembly,131,,Scattering,176,,,,,,,,,
Ontario,State Assembly,131,,Total,52691,,,,,,,,,
Seneca,State Assembly,131,REP,Brian M. Kolb,6305,,,,,,,,,
Seneca,State Assembly,131,CON,Brian M. Kolb,810,,,,,,,,,
Seneca,State Assembly,131,IND,Brian M. Kolb,785,,,,,,,,,
Seneca,State Assembly,131,REF,Brian M. Kolb,158,,,,,,,,,
Seneca,State Assembly,131,,Blank,2237,,,,,,,,,
Seneca,State Assembly,131,,Void,0,,,,,,,,,
Seneca,State Assembly,131,,Scattering,41,,,,,,,,,
Seneca,State Assembly,131,,Total,10336,,,,,,,,,
Total,State Assembly,131,REP,Brian M. Kolb,36746,,,,,,,,,
Total,State Assembly,131,CON,Brian M. Kolb,5252,,,,,,,,,
Total,State Assembly,131,IND,Brian M. Kolb,4831,,,,,,,,,
Total,State Assembly,131,REF,Brian M. Kolb,885,,,,,,,,,
Total,State Assembly,131,,Blank,15096,,,,,,,,,
Total,State Assembly,131,,Void,0,,,,,,,,,
Total,State Assembly,131,,Scattering,217,,,,,,,,,
Total,State Assembly,131,,Total,63027,,,,,,,,,
Schuyler,State Assembly,132,REP,Philip A. Palmesano,5097,,,,,,,,,
Schuyler,State Assembly,132,CON,Philip A. Palmesano,658,,,,,,,,,
Schuyler,State Assembly,132,IND,Philip A. Palmesano,585,,,,,,,,,
Schuyler,State Assembly,132,REF,Philip A. Palmesano,78,,,,,,,,,
Schuyler,State Assembly,132,,Blank,2363,,,,,,,,,
Schuyler,State Assembly,132,,Void,0,,,,,,,,,
Schuyler,State Assembly,132,,Scattering,45,,,,,,,,,
Schuyler,State Assembly,132,,Total,8826,,,,,,,,,
Yates,State Assembly,132,REP,Philip A. Palmesano,6059,,,,,,,,,
Yates,State Assembly,132,CON,Philip A. Palmesano,741,,,,,,,,,
Yates,State Assembly,132,IND,Philip A. Palmesano,640,,,,,,,,,
Yates,State Assembly,132,REF,Philip A. Palmesano,86,,,,,,,,,
Yates,State Assembly,132,,Blank,2631,,,,,,,,,
Yates,State Assembly,132,,Void,0,,,,,,,,,
Yates,State Assembly,132,,Scattering,29,,,,,,,,,
Yates,State Assembly,132,,Total,10186,,,,,,,,,
Chemung,State Assembly,132,REP,Philip A. Palmesano,2786,,,,,,,,,
Chemung,State Assembly,132,CON,Philip A. Palmesano,365,,,,,,,,,
Chemung,State Assembly,132,IND,Philip A. Palmesano,213,,,,,,,,,
Chemung,State Assembly,132,REF,Philip A. Palmesano,28,,,,,,,,,
Chemung,State Assembly,132,,Blank,1145,,,,,,,,,
Chemung,State Assembly,132,,Void,0,,,,,,,,,
Chemung,State Assembly,132,,Scattering,0,,,,,,,,,
Chemung,State Assembly,132,,Total,4537,,,,,,,,,
Seneca,State Assembly,132,REP,Philip A. Palmesano,2065,,,,,,,,,
Seneca,State Assembly,132,CON,Philip A. Palmesano,220,,,,,,,,,
Seneca,State Assembly,132,IND,Philip A. Palmesano,286,,,,,,,,,
Seneca,State Assembly,132,REF,Philip A. Palmesano,49,,,,,,,,,
Seneca,State Assembly,132,,Blank,1060,,,,,,,,,
Seneca,State Assembly,132,,Void,0,,,,,,,,,
Seneca,State Assembly,132,,Scattering,18,,,,,,,,,
Seneca,State Assembly,132,,Total,3698,,,,,,,,,
Steuben,State Assembly,132,REP,Philip A. Palmesano,20884,,,,,,,,,
Steuben,State Assembly,132,CON,Philip A. Palmesano,1865,,,,,,,,,
Steuben,State Assembly,132,IND,Philip A. Palmesano,1838,,,,,,,,,
Steuben,State Assembly,132,REF,Philip A. Palmesano,215,,,,,,,,,
Steuben,State Assembly,132,,Blank,6280,,,,,,,,,
Steuben,State Assembly,132,,Void,1,,,,,,,,,
Steuben,State Assembly,132,,Scattering,71,,,,,,,,,
Steuben,State Assembly,132,,Total,31154,,,,,,,,,
Total,State Assembly,132,REP,Philip A. Palmesano,36891,,,,,,,,,
Total,State Assembly,132,CON,Philip A. Palmesano,3849,,,,,,,,,
Total,State Assembly,132,IND,Philip A. Palmesano,3562,,,,,,,,,
Total,State Assembly,132,REF,Philip A. Palmesano,456,,,,,,,,,
Total,State Assembly,132,,Blank,13479,,,,,,,,,
Total,State Assembly,132,,Void,1,,,,,,,,,
Total,State Assembly,132,,Scattering,163,,,,,,,,,
Total,State Assembly,132,,Total,58401,,,,,,,,,
Livingston,State Assembly,133,DEM,Barbara A. Baer,9756,,,,,,,,,
Livingston,State Assembly,133,REP,Joe Errigo,13727,,,,,,,,,
Livingston,State Assembly,133,CON,Joe Errigo,2125,,,,,,,,,
Livingston,State Assembly,133,WOR,Barbara A. Baer,657,,,,,,,,,
Livingston,State Assembly,133,IND,Joe Errigo,637,,,,,,,,,
Livingston,State Assembly,133,WEP,Barbara A. Baer,276,,,,,,,,,
Livingston,State Assembly,133,REF,Joe Errigo,96,,,,,,,,,
Livingston,State Assembly,133,,Blank,2787,,,,,,,,,
Livingston,State Assembly,133,,Void,13,,,,,,,,,
Livingston,State Assembly,133,,Scattering,144,,,,,,,,,
Livingston,State Assembly,133,,Total,30218,,,,,,,,,
Monroe,State Assembly,133,DEM,Barbara A. Baer,12000,,,,,,,,,
Monroe,State Assembly,133,REP,Joe Errigo,9704,,,,,,,,,
Monroe,State Assembly,133,CON,Joe Errigo,1726,,,,,,,,,
Monroe,State Assembly,133,WOR,Barbara A. Baer,636,,,,,,,,,
Monroe,State Assembly,133,IND,Joe Errigo,494,,,,,,,,,
Monroe,State Assembly,133,WEP,Barbara A. Baer,310,,,,,,,,,
Monroe,State Assembly,133,REF,Joe Errigo,77,,,,,,,,,
Monroe,State Assembly,133,,Blank,1778,,,,,,,,,
Monroe,State Assembly,133,,Void,6,,,,,,,,,
Monroe,State Assembly,133,,Scattering,187,,,,,,,,,
Monroe,State Assembly,133,,Total,26918,,,,,,,,,
Steuben,State Assembly,133,DEM,Barbara A. Baer,2438,,,,,,,,,
Steuben,State Assembly,133,REP,Joe Errigo,5083,,,,,,,,,
Steuben,State Assembly,133,CON,Joe Errigo,550,,,,,,,,,
Steuben,State Assembly,133,WOR,Barbara A. Baer,213,,,,,,,,,
Steuben,State Assembly,133,IND,Joe Errigo,175,,,,,,,,,
Steuben,State Assembly,133,WEP,Barbara A. Baer,67,,,,,,,,,
Steuben,State Assembly,133,REF,Joe Errigo,26,,,,,,,,,
Steuben,State Assembly,133,,Blank,941,,,,,,,,,
Steuben,State Assembly,133,,Void,4,,,,,,,,,
Steuben,State Assembly,133,,Scattering,11,,,,,,,,,
Steuben,State Assembly,133,,Total,9508,,,,,,,,,
Total,State Assembly,133,DEM,Barbara A. Baer,24194,,,,,,,,,
Total,State Assembly,133,REP,Joe Errigo,28514,,,,,,,,,
Total,State Assembly,133,CON,Joe Errigo,4401,,,,,,,,,
Total,State Assembly,133,WOR,Barbara A. Baer,1506,,,,,,,,,
Total,State Assembly,133,IND,Joe Errigo,1306,,,,,,,,,
Total,State Assembly,133,WEP,Barbara A. Baer,653,,,,,,,,,
Total,State Assembly,133,REF,Joe Errigo,199,,,,,,,,,
Total,State Assembly,133,,Blank,5506,,,,,,,,,
Total,State Assembly,133,,Void,23,,,,,,,,,
Total,State Assembly,133,,Scattering,342,,,,,,,,,
Total,State Assembly,133,,Total,66644,,,,,,,,,
Monroe,State Assembly,134,REP,Peter A. Lawrence,35882,,,,,,,,,
Monroe,State Assembly,134,CON,Peter A. Lawrence,6838,,,,,,,,,
Monroe,State Assembly,134,IND,Peter A. Lawrence,4733,,,,,,,,,
Monroe,State Assembly,134,REF,Peter A. Lawrence,569,,,,,,,,,
Monroe,State Assembly,134,,Blank,18509,,,,,,,,,
Monroe,State Assembly,134,,Void,5,,,,,,,,,
Monroe,State Assembly,134,,Scattering,188,,,,,,,,,
Monroe,State Assembly,134,,Total,66724,,,,,,,,,
Monroe,State Assembly,135,DEM,Dorothy A. Styk,27157,,,,,,,,,
Monroe,State Assembly,135,REP,Mark C. Johns,34386,,,,,,,,,
Monroe,State Assembly,135,CON,Mark C. Johns,5610,,,,,,,,,
Monroe,State Assembly,135,IND,Mark C. Johns,2309,,,,,,,,,
Monroe,State Assembly,135,WEP,Dorothy A. Styk,1401,,,,,,,,,
Monroe,State Assembly,135,REF,Mark C. Johns,311,,,,,,,,,
Monroe,State Assembly,135,,Blank,5657,,,,,,,,,
Monroe,State Assembly,135,,Void,15,,,,,,,,,
Monroe,State Assembly,135,,Scattering,22,,,,,,,,,
Monroe,State Assembly,135,,Total,76868,,,,,,,,,
Monroe,State Assembly,136,DEM,Joseph D. Morelle,40441,,,,,,,,,
Monroe,State Assembly,136,IND,Joseph D. Morelle,5656,,,,,,,,,
Monroe,State Assembly,136,,Blank,16968,,,,,,,,,
Monroe,State Assembly,136,,Void,6,,,,,,,,,
Monroe,State Assembly,136,,Scattering,248,,,,,,,,,
Monroe,State Assembly,136,,Total,63319,,,,,,,,,
Monroe,State Assembly,137,DEM,David F. Gantt,31738,,,,,,,,,
Monroe,State Assembly,137,,Blank,12480,,,,,,,,,
Monroe,State Assembly,137,,Void,4,,,,,,,,,
Monroe,State Assembly,137,,Scattering,291,,,,,,,,,
Monroe,State Assembly,137,,Total,44513,,,,,,,,,
Monroe,State Assembly,138,DEM,Harry B. Bronson,28272,,,,,,,,,
Monroe,State Assembly,138,REP,Bob Zinck,17307,,,,,,,,,
Monroe,State Assembly,138,WOR,Harry B. Bronson,1926,,,,,,,,,
Monroe,State Assembly,138,IND,Harry B. Bronson,1262,,,,,,,,,
Monroe,State Assembly,138,WEP,Harry B. Bronson,706,,,,,,,,,
Monroe,State Assembly,138,REF,Bob Zinck,627,,,,,,,,,
Monroe,State Assembly,138,,Blank,5407,,,,,,,,,
Monroe,State Assembly,138,,Void,6,,,,,,,,,
Monroe,State Assembly,138,,Scattering,96,,,,,,,,,
Monroe,State Assembly,138,,Total,55609,,,,,,,,,
Genesee,State Assembly,139,REP,Stephen M. Hawley,17309,,,,,,,,,
Genesee,State Assembly,139,CON,Stephen M. Hawley,2841,,,,,,,,,
Genesee,State Assembly,139,IND,Stephen M. Hawley,1630,,,,,,,,,
Genesee,State Assembly,139,REF,Stephen M. Hawley,217,,,,,,,,,
Genesee,State Assembly,139,,Blank,4627,,,,,,,,,
Genesee,State Assembly,139,,Void,6,,,,,,,,,
Genesee,State Assembly,139,,Scattering,46,,,,,,,,,
Genesee,State Assembly,139,,Total,26676,,,,,,,,,
Monroe,State Assembly,139,REP,Stephen M. Hawley,8803,,,,,,,,,
Monroe,State Assembly,139,CON,Stephen M. Hawley,1914,,,,,,,,,
Monroe,State Assembly,139,IND,Stephen M. Hawley,1208,,,,,,,,,
Monroe,State Assembly,139,REF,Stephen M. Hawley,142,,,,,,,,,
Monroe,State Assembly,139,,Blank,3781,,,,,,,,,
Monroe,State Assembly,139,,Void,0,,,,,,,,,
Monroe,State Assembly,139,,Scattering,52,,,,,,,,,
Monroe,State Assembly,139,,Total,15900,,,,,,,,,
Orleans,State Assembly,139,REP,Stephen M. Hawley,9342,,,,,,,,,
Orleans,State Assembly,139,CON,Stephen M. Hawley,1385,,,,,,,,,
Orleans,State Assembly,139,IND,Stephen M. Hawley,704,,,,,,,,,
Orleans,State Assembly,139,REF,Stephen M. Hawley,99,,,,,,,,,
Orleans,State Assembly,139,,Blank,3048,,,,,,,,,
Orleans,State Assembly,139,,Void,3,,,,,,,,,
Orleans,State Assembly,139,,Scattering,13,,,,,,,,,
Orleans,State Assembly,139,,Total,14594,,,,,,,,,
Total,State Assembly,139,REP,Stephen M. Hawley,35454,,,,,,,,,
Total,State Assembly,139,CON,Stephen M. Hawley,6140,,,,,,,,,
Total,State Assembly,139,IND,Stephen M. Hawley,3542,,,,,,,,,
Total,State Assembly,139,REF,Stephen M. Hawley,458,,,,,,,,,
Total,State Assembly,139,,Blank,11456,,,,,,,,,
Total,State Assembly,139,,Void,9,,,,,,,,,
Total,State Assembly,139,,Scattering,111,,,,,,,,,
Total,State Assembly,139,,Total,57170,,,,,,,,,
Erie,State Assembly,140,DEM,Robin Schimminger,26885,,,,,,,,,
Erie,State Assembly,140,REP,Danielle M. Rotolo,10974,,,,,,,,,
Erie,State Assembly,140,CON,Robin Schimminger,4260,,,,,,,,,
Erie,State Assembly,140,GRN,Anthony Baney,1345,,,,,,,,,
Erie,State Assembly,140,IND,Robin Schimminger,1903,,,,,,,,,
Erie,State Assembly,140,REF,Danielle M. Rotolo,316,,,,,,,,,
Erie,State Assembly,140,,Blank,4493,,,,,,,,,
Erie,State Assembly,140,,Void,0,,,,,,,,,
Erie,State Assembly,140,,Scattering,0,,,,,,,,,
Erie,State Assembly,140,,Total,50176,,,,,,,,,
Niagara,State Assembly,140,DEM,Robin Schimminger,3917,,,,,,,,,
Niagara,State Assembly,140,REP,Danielle M. Rotolo,2581,,,,,,,,,
Niagara,State Assembly,140,CON,Robin Schimminger,931,,,,,,,,,
Niagara,State Assembly,140,GRN,Anthony Baney,184,,,,,,,,,
Niagara,State Assembly,140,IND,Robin Schimminger,439,,,,,,,,,
Niagara,State Assembly,140,REF,Danielle M. Rotolo,82,,,,,,,,,
Niagara,State Assembly,140,,Blank,887,,,,,,,,,
Niagara,State Assembly,140,,Void,0,,,,,,,,,
Niagara,State Assembly,140,,Scattering,9,,,,,,,,,
Niagara,State Assembly,140,,Total,9030,,,,,,,,,
Total,State Assembly,140,DEM,Robin Schimminger,30802,,,,,,,,,
Total,State Assembly,140,REP,Danielle M. Rotolo,13555,,,,,,,,,
Total,State Assembly,140,CON,Robin Schimminger,5191,,,,,,,,,
Total,State Assembly,140,GRN,Anthony Baney,1529,,,,,,,,,
Total,State Assembly,140,IND,Robin Schimminger,2342,,,,,,,,,
Total,State Assembly,140,REF,Danielle M. Rotolo,398,,,,,,,,,
Total,State Assembly,140,,Blank,5380,,,,,,,,,
Total,State Assembly,140,,Void,0,,,,,,,,,
Total,State Assembly,140,,Scattering,9,,,,,,,,,
Total,State Assembly,140,,Total,59206,,,,,,,,,
Erie,State Assembly,141,DEM,Crystal D. Peoples,39285,,,,,,,,,
Erie,State Assembly,141,REP,Ross M. Kostecky,4376,,,,,,,,,
Erie,State Assembly,141,WOR,Crystal D. Peoples,1894,,,,,,,,,
Erie,State Assembly,141,,Blank,3602,,,,,,,,,
Erie,State Assembly,141,,Void,0,,,,,,,,,
Erie,State Assembly,141,,Scattering,0,,,,,,,,,
Erie,State Assembly,141,,Total,49157,,,,,,,,,
Erie,State Assembly,142,DEM,Michael P. Kearns,29996,,,,,,,,,
Erie,State Assembly,142,REP,Michael P. Kearns,18156,,,,,,,,,
Erie,State Assembly,142,CON,Michael P. Kearns,4766,,,,,,,,,
Erie,State Assembly,142,IND,Michael P. Kearns,2629,,,,,,,,,
Erie,State Assembly,142,,Blank,6594,,,,,,,,,
Erie,State Assembly,142,,Void,0,,,,,,,,,
Erie,State Assembly,142,,Scattering,0,,,,,,,,,
Erie,State Assembly,142,,Total,62141,,,,,,,,,
Erie,State Assembly,143,DEM,Monica P. Wallace,27738,,,,,,,,,
Erie,State Assembly,143,REP,Russell W. Sugg,19262,,,,,,,,,
Erie,State Assembly,143,CON,Russell W. Sugg,4605,,,,,,,,,
Erie,State Assembly,143,WOR,Monica P. Wallace,2473,,,,,,,,,
Erie,State Assembly,143,IND,Russell W. Sugg,1210,,,,,,,,,
Erie,State Assembly,143,WEP,Monica P. Wallace,666,,,,,,,,,
Erie,State Assembly,143,REF,Russell W. Sugg,176,,,,,,,,,
Erie,State Assembly,143,,Blank,6640,,,,,,,,,
Erie,State Assembly,143,,Void,0,,,,,,,,,
Erie,State Assembly,143,,Scattering,0,,,,,,,,,
Erie,State Assembly,143,,Total,62770,,,,,,,,,
Erie,State Assembly,144,REP,Michael J. Norris,16488,,,,,,,,,
Erie,State Assembly,144,IND,Michael J. Norris,2377,,,,,,,,,
Erie,State Assembly,144,,Blank,8450,,,,,,,,,
Erie,State Assembly,144,,Void,0,,,,,,,,,
Erie,State Assembly,144,,Scattering,0,,,,,,,,,
Erie,State Assembly,144,,Total,27315,,,,,,,,,
Niagara,State Assembly,144,REP,Michael J. Norris,20066,,,,,,,,,
Niagara,State Assembly,144,IND,Michael J. Norris,3270,,,,,,,,,
Niagara,State Assembly,144,,Blank,11963,,,,,,,,,
Niagara,State Assembly,144,,Void,0,,,,,,,,,
Niagara,State Assembly,144,,Scattering,112,,,,,,,,,
Niagara,State Assembly,144,,Total,35411,,,,,,,,,
Orleans,State Assembly,144,REP,Michael J. Norris,1193,,,,,,,,,
Orleans,State Assembly,144,IND,Michael J. Norris,112,,,,,,,,,
Orleans,State Assembly,144,,Blank,670,,,,,,,,,
Orleans,State Assembly,144,,Void,0,,,,,,,,,
Orleans,State Assembly,144,,Scattering,0,,,,,,,,,
Orleans,State Assembly,144,,Total,1975,,,,,,,,,
Total,State Assembly,144,REP,Michael J. Norris,37747,,,,,,,,,
Total,State Assembly,144,IND,Michael J. Norris,5759,,,,,,,,,
Total,State Assembly,144,,Blank,21083,,,,,,,,,
Total,State Assembly,144,,Void,0,,,,,,,,,
Total,State Assembly,144,,Scattering,112,,,,,,,,,
Total,State Assembly,144,,Total,64701,,,,,,,,,
Erie,State Assembly,145,DEM,John D. Ceretto,3809,,,,,,,,,
Erie,State Assembly,145,REP,Angelo J. Morinello,4726,,,,,,,,,
Erie,State Assembly,145,CON,Angelo J. Morinello,1170,,,,,,,,,
Erie,State Assembly,145,WOR,John D. Ceretto,432,,,,,,,,,
Erie,State Assembly,145,IND,Angelo J. Morinello,293,,,,,,,,,
Erie,State Assembly,145,REF,Angelo J. Morinello,47,,,,,,,,,
Erie,State Assembly,145,,Blank,956,,,,,,,,,
Erie,State Assembly,145,,Void,0,,,,,,,,,
Erie,State Assembly,145,,Scattering,0,,,,,,,,,
Erie,State Assembly,145,,Total,11433,,,,,,,,,
Niagara,State Assembly,145,DEM,John D. Ceretto,17833,,,,,,,,,
Niagara,State Assembly,145,REP,Angelo J. Morinello,17515,,,,,,,,,
Niagara,State Assembly,145,CON,Angelo J. Morinello,3234,,,,,,,,,
Niagara,State Assembly,145,WOR,John D. Ceretto,1535,,,,,,,,,
Niagara,State Assembly,145,IND,Angelo J. Morinello,1190,,,,,,,,,
Niagara,State Assembly,145,REF,Angelo J. Morinello,206,,,,,,,,,
Niagara,State Assembly,145,,Blank,4603,,,,,,,,,
Niagara,State Assembly,145,,Void,0,,,,,,,,,
Niagara,State Assembly,145,,Scattering,30,,,,,,,,,
Niagara,State Assembly,145,,Total,46146,,,,,,,,,
Total,State Assembly,145,DEM,John D. Ceretto,21642,,,,,,,,,
Total,State Assembly,145,REP,Angelo J. Morinello,22241,,,,,,,,,
Total,State Assembly,145,CON,Angelo J. Morinello,4404,,,,,,,,,
Total,State Assembly,145,WOR,John D. Ceretto,1967,,,,,,,,,
Total,State Assembly,145,IND,Angelo J. Morinello,1483,,,,,,,,,
Total,State Assembly,145,REF,Angelo J. Morinello,253,,,,,,,,,
Total,State Assembly,145,,Blank,5559,,,,,,,,,
Total,State Assembly,145,,Void,0,,,,,,,,,
Total,State Assembly,145,,Scattering,30,,,,,,,,,
Total,State Assembly,145,,Total,57579,,,,,,,,,
Erie,State Assembly,146,DEM,Steven G. Meyer,25374,,,,,,,,,
Erie,State Assembly,146,REP,Raymond W. Walter,22698,,,,,,,,,
Erie,State Assembly,146,CON,Raymond W. Walter,4286,,,,,,,,,
Erie,State Assembly,146,GRN,Steven G. Meyer,858,,,,,,,,,
Erie,State Assembly,146,WOR,Steven G. Meyer,1305,,,,,,,,,
Erie,State Assembly,146,IND,Raymond W. Walter,1196,,,,,,,,,
Erie,State Assembly,146,WEP,Steven G. Meyer,486,,,,,,,,,
Erie,State Assembly,146,REF,Raymond W. Walter,156,,,,,,,,,
Erie,State Assembly,146,,Blank,4618,,,,,,,,,
Erie,State Assembly,146,,Void,0,,,,,,,,,
Erie,State Assembly,146,,Scattering,0,,,,,,,,,
Erie,State Assembly,146,,Total,60977,,,,,,,,,
Niagara,State Assembly,146,DEM,Steven G. Meyer,977,,,,,,,,,
Niagara,State Assembly,146,REP,Raymond W. Walter,1661,,,,,,,,,
Niagara,State Assembly,146,CON,Raymond W. Walter,431,,,,,,,,,
Niagara,State Assembly,146,GRN,Steven G. Meyer,51,,,,,,,,,
Niagara,State Assembly,146,WOR,Steven G. Meyer,73,,,,,,,,,
Niagara,State Assembly,146,IND,Raymond W. Walter,126,,,,,,,,,
Niagara,State Assembly,146,WEP,Steven G. Meyer,22,,,,,,,,,
Niagara,State Assembly,146,REF,Raymond W. Walter,6,,,,,,,,,
Niagara,State Assembly,146,,Blank,359,,,,,,,,,
Niagara,State Assembly,146,,Void,0,,,,,,,,,
Niagara,State Assembly,146,,Scattering,0,,,,,,,,,
Niagara,State Assembly,146,,Total,3706,,,,,,,,,
Total,State Assembly,146,DEM,Steven G. Meyer,26351,,,,,,,,,
Total,State Assembly,146,REP,Raymond W. Walter,24359,,,,,,,,,
Total,State Assembly,146,CON,Raymond W. Walter,4717,,,,,,,,,
Total,State Assembly,146,GRN,Steven G. Meyer,909,,,,,,,,,
Total,State Assembly,146,WOR,Steven G. Meyer,1378,,,,,,,,,
Total,State Assembly,146,IND,Raymond W. Walter,1322,,,,,,,,,
Total,State Assembly,146,WEP,Steven G. Meyer,508,,,,,,,,,
Total,State Assembly,146,REF,Raymond W. Walter,162,,,,,,,,,
Total,State Assembly,146,,Blank,4977,,,,,,,,,
Total,State Assembly,146,,Void,0,,,,,,,,,
Total,State Assembly,146,,Scattering,0,,,,,,,,,
Total,State Assembly,146,,Total,64683,,,,,,,,,
Wyoming,State Assembly,147,REP,David J. DiPietro,11369,,,,,,,,,
Wyoming,State Assembly,147,CON,David J. DiPietro,1923,,,,,,,,,
Wyoming,State Assembly,147,IND,David J. DiPietro,878,,,,,,,,,
Wyoming,State Assembly,147,REF,David J. DiPietro,117,,,,,,,,,
Wyoming,State Assembly,147,,Blank,3176,,,,,,,,,
Wyoming,State Assembly,147,,Void,25,,,,,,,,,
Wyoming,State Assembly,147,,Scattering,13,,,,,,,,,
Wyoming,State Assembly,147,,Total,17501,,,,,,,,,
Erie,State Assembly,147,REP,David J. DiPietro,26665,,,,,,,,,
Erie,State Assembly,147,CON,David J. DiPietro,6789,,,,,,,,,
Erie,State Assembly,147,IND,David J. DiPietro,3420,,,,,,,,,
Erie,State Assembly,147,REF,David J. DiPietro,397,,,,,,,,,
Erie,State Assembly,147,,Blank,12730,,,,,,,,,
Erie,State Assembly,147,,Void,,,,,,,,,,
Erie,State Assembly,147,,Scattering,,,,,,,,,,
Erie,State Assembly,147,,Total,50001,,,,,,,,,
Total,State Assembly,147,REP,David J. DiPietro,38034,,,,,,,,,
Total,State Assembly,147,CON,David J. DiPietro,8712,,,,,,,,,
Total,State Assembly,147,IND,David J. DiPietro,4298,,,,,,,,,
Total,State Assembly,147,REF,David J. DiPietro,514,,,,,,,,,
Total,State Assembly,147,,Blank,15906,,,,,,,,,
Total,State Assembly,147,,Void,25,,,,,,,,,
